State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Gujarat,Navsari,StarCinemasNavsari,Gujarati,11:15,Miller,150₹,41,0
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,11:15,UpperSofa,150₹,17,0
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,11:15,LowerSofa,100₹,27,0
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,12:10,Platinum,150₹,18,0
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,12:10,Gold,100₹,32,0
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,12:10,Silver,100₹,16,0
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,13:00,Executive,110₹,51,12
Gujarat,Navsari,StarCinemasNavsari,Gujarati,13:45,Miller,150₹,41,2
Gujarat,Vadodara,CinemarcAkotaVadodara,Gujarati,14:30,Silver,80₹,87,2
Gujarat,Vadodara,CinemarcAkotaVadodara,Gujarati,14:30,Premier,80₹,12,0
Gujarat,Vadodara,CinemarcAkotaVadodara,Gujarati,14:30,Sofa,90₹,26,2
Gujarat,Surat,CherishCinemasKatargam,Gujarati,15:00,Gold,110₹,52,0
Gujarat,Surat,CherishCinemasKatargam,Gujarati,15:00,Silver,110₹,64,2
Gujarat,Surat,CherishCinemasKatargam,Gujarati,15:00,Platinum,110₹,32,0
Gujarat,Surat,CherishCinemasKatargam,Gujarati,15:00,Premium,110₹,32,0
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,15:00,Platinum,150₹,18,0
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,15:00,Gold,100₹,32,6
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,15:00,Silver,100₹,16,0
Gujarat,Ahmedabad,MangoPlusCinemasNikol,Gujarati,15:45,Recliner,300₹,17,4
Gujarat,Ahmedabad,MangoPlusCinemasNikol,Gujarati,15:45,Sofa,150₹,150,2
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,16:30,Executive,110₹,51,0
Gujarat,Vadodara,CinemarcNewVipRoad,Gujarati,17:20,Gold,100₹,37,4
Gujarat,Vadodara,CinemarcNewVipRoad,Gujarati,17:20,Silver,100₹,158,0
Gujarat,Vadodara,CinemarcNewVipRoad,Gujarati,17:20,Sofa,120₹,35,0
Gujarat,Vadodara,CinemarcNewVipRoad,Gujarati,17:20,Premium,80₹,46,0
Gujarat,Navsari,StarCinemasNavsari,Gujarati,19:00,Miller,150₹,49,0
Gujarat,Navsari,StarCinemasNavsari,Gujarati,19:00,Lounger,150₹,8,0
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,19:05,Sofa,100₹,28,0
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,19:05,PlatinumSofa,150₹,14,0
Gujarat,Surat,CherishCinemasKatargam,Gujarati,19:15,Gold,110₹,49,0
Gujarat,Surat,CherishCinemasKatargam,Gujarati,19:15,Silver,110₹,59,0
Gujarat,Surat,CherishCinemasKatargam,Gujarati,19:15,Platinum,110₹,30,0
Gujarat,Surat,CherishCinemasKatargam,Gujarati,19:15,Premium,110₹,30,0
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,19:45,Platinum,150₹,22,8
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,19:45,Gold,110₹,60,16
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,19:45,Silver,110₹,20,0
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,21:15,Platinum,150₹,18,0
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,21:15,Gold,100₹,32,3
Gujarat,Ahmedabad,19CinemaSouthBopalAhmedabad,Gujarati,21:15,Silver,100₹,16,0
Gujarat,Navsari,StarCinemasNavsari,Gujarati,21:30,Miller,150₹,49,0
Gujarat,Navsari,StarCinemasNavsari,Gujarati,21:30,Lounger,150₹,8,0
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,21:45,Platinum,150₹,24,0
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,21:45,Gold,110₹,61,2
Gujarat,Ahmedabad,AbMiniplexShivranjiniCrossRoadSatellite,Gujarati,21:45,Silver,110₹,17,0
Gujarat,Ahmedabad,MangoPlusCinemasNikol,Gujarati,21:45,Recliner,350₹,17,0
Gujarat,Ahmedabad,MangoPlusCinemasNikol,Gujarati,21:45,Sofa,180₹,150,7
