City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Durg,KSeraSeraMiniplexDurg,491001,Chattisgarhi,09:00,Gold,100₹,74,10
Durg,KSeraSeraMiniplexDurg,491001,Chattisgarhi,09:00,Silver,100₹,10,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,09:30,Silver,100₹,88,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,09:30,Gold,150₹,120,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,09:30,Platinum,180₹,64,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,09:30,Diamond,200₹,91,0
Raipur,ColorsCinemasRaipur,492001,Chattisgarhi,10:00,Lounge,250₹,26,10
Raipur,ColorsCinemasRaipur,492001,Chattisgarhi,10:00,Club,150₹,112,14
Raipur,ColorsCinemasRaipur,492001,Chattisgarhi,10:00,Premium,150₹,100,0
Korba,CinemoodMultiplexDolbyAtmosSoundKorba,495678,Chattisgarhi,11:00,Platinum,200₹,18,0
Korba,CinemoodMultiplexDolbyAtmosSoundKorba,495678,Chattisgarhi,11:00,Diamond,150₹,68,0
Korba,CinemoodMultiplexDolbyAtmosSoundKorba,495678,Chattisgarhi,11:00,Gold,100₹,51,0
Korba,CinemoodMultiplexDolbyAtmosSoundKorba,495678,Chattisgarhi,11:00,Silver,50₹,34,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,11:00,Platinum,250₹,14,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,11:00,Gold,150₹,98,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,11:00,Silver,100₹,28,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,11:00,Platinum,250₹,14,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,11:00,Gold,150₹,98,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,11:00,Silver,100₹,28,0
DalliRajhara,MathurCineplexDalliRajhara,491228,Chattisgarhi,11:00,Gold,130₹,96,0
DalliRajhara,MathurCineplexDalliRajhara,491228,Chattisgarhi,11:00,Silver,100₹,35,0
DalliRajhara,MathurCineplexDalliRajhara,491228,Chattisgarhi,11:00,LowerClass,70₹,54,0
Bhilai,SriVenkateshwaraTalkiesBhilai,490023,Chattisgarhi,11:30,Balcony,110₹,132,0
BalodaBazar,ShivaBollywoodTheatreBalodaBazar,493332,Chattisgarhi,12:00,Balcony,100₹,36,0
BalodaBazar,ShivaBollywoodTheatreBalodaBazar,493332,Chattisgarhi,12:00,Silver,80₹,50,2
TildaNeora,NewRajTalkiesTildaNeora,493114,Chattisgarhi,12:00,GoldClass,150₹,18,0
Durg,KSeraSeraMiniplexDurg,491001,Chattisgarhi,12:00,Gold,100₹,74,11
Durg,KSeraSeraMiniplexDurg,491001,Chattisgarhi,12:00,Silver,100₹,10,0
Rajnandgaon,KrishnaTalkiesRajnandgaon,491441,Chattisgarhi,12:00,Balcony,100₹,30,0
Rajnandgaon,KrishnaTalkiesRajnandgaon,491441,Chattisgarhi,12:00,ReserveClass,60₹,200,0
Bagbahara,CityCinemaBagbahara,493449,Chattisgarhi,12:00,Diamond,100₹,141,0
Bagbahara,CityCinemaBagbahara,493449,Chattisgarhi,12:00,GoldClass,70₹,98,0
Pendra,DurgeshTalkiesPendra,495117,Chattisgarhi,12:00,Balcony,150₹,65,0
Pendra,DurgeshTalkiesPendra,495117,Chattisgarhi,12:00,ReserveClass,120₹,88,0
Pendra,DurgeshTalkiesPendra,495117,Chattisgarhi,12:00,UpperStall,100₹,75,0
Kawardha,MaaBhuvaneshwariTalkiesKawardha,491995,Chattisgarhi,12:00,Balcony,120₹,29,2
Saraipali,SanjanaCinemaSaraipali,493558,Chattisgarhi,12:00,SuperDeluxe,120₹,55,0
Saraipali,SanjanaCinemaSaraipali,493558,Chattisgarhi,12:00,Deluxe,70₹,140,0
Raigarh,RamniwasTalkiesAirconditionedRaigarh,496001,Chattisgarhi,12:00,Platinum,100₹,63,0
Raigarh,RamniwasTalkiesAirconditionedRaigarh,496001,Chattisgarhi,12:00,Gold,70₹,73,0
Raigarh,RamniwasTalkiesAirconditionedRaigarh,496001,Chattisgarhi,12:00,Silver,70₹,63,0
Kasdol,ShriBalajiCinemaAirconditionedKasdol,493335,Chattisgarhi,12:00,DiamondClass,100₹,18,0
Basna,CityCinemaBasna,493554,Chattisgarhi,12:00,Box1,170₹,8,0
Basna,CityCinemaBasna,493554,Chattisgarhi,12:00,Box2,170₹,8,0
Basna,CityCinemaBasna,493554,Chattisgarhi,12:00,Diamond,120₹,99,0
Basna,CityCinemaBasna,493554,Chattisgarhi,12:00,Gold,100₹,64,0
Basna,CityCinemaBasna,493554,Chattisgarhi,12:00,Silver,80₹,48,0
Balod,VinayTalkiesBalod,491226,Chattisgarhi,12:00,Balcony,90₹,30,0
Balod,VinayTalkiesBalod,491226,Chattisgarhi,12:00,FirstClass,60₹,200,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,12:00,Royal,150₹,9,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,12:00,Diamond,120₹,20,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,12:00,Gold,100₹,20,0
Akaltara,DlMultiplexAkaltara,495552,Chattisgarhi,12:00,Silver,60₹,20,0
Raipur,ShyamTalkiesRaipur,492001,Chattisgarhi,12:00,Balcony,100₹,60,0
Sarangarh,CityCinemaSarangarh,496445,Chattisgarhi,12:00,Diamond,100₹,56,0
Sarangarh,CityCinemaSarangarh,496445,Chattisgarhi,12:00,GoldClass,70₹,275,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,12:00,Platinum,160₹,37,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,12:00,Diamond,140₹,78,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,12:00,Gold,120₹,72,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,12:00,Silver,100₹,54,0
Bhatgaon,ShreeMahalCinemaBhatgaon,493222,Chattisgarhi,12:00,Vip,200₹,14,0
Narayanpur,AgCinemasNarayanpur,494661,Chattisgarhi,12:00,Platinum,120₹,48,0
Narayanpur,AgCinemasNarayanpur,494661,Chattisgarhi,12:00,Gold,100₹,40,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,12:00,Silver,60₹,42,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,12:00,Gold,100₹,42,26
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,12:00,Platinum,150₹,100,0
Kharsia,PihuEntertainmentKharsia,496661,Chattisgarhi,12:00,Diamond,250₹,12,0
Raipur,PrabhatTalkiesRaipur,492009,Chattisgarhi,12:00,Diamond,100₹,211,0
Raipur,PrabhatTalkiesRaipur,492009,Chattisgarhi,12:00,Gold,70₹,720,0
Dhamtari,DevshriCinemaDhamtari,493773,Chattisgarhi,12:00,Balcony,90₹,31,0
Dhamtari,DevshriCinemaDhamtari,493773,Chattisgarhi,12:00,UpperStall,60₹,100,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,12:00,Platinum,200₹,18,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,12:00,Diamond,170₹,20,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,12:00,Gold,140₹,21,0
Sakti,KrishnaMetroCinemaSakti,495689,Chattisgarhi,12:00,Silver,100₹,23,0
Pendra,PoojaShreeCineplexPendra,495119,Chattisgarhi,12:00,DiamondClass,150₹,15,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,12:00,Silver,100₹,88,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,12:00,Gold,150₹,120,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,12:00,Platinum,180₹,64,0
Ambikapur,BasantMultiplexAmbikapur,497001,Chattisgarhi,12:00,Diamond,200₹,91,0
Nawapara,GalaxyCinemaNawapara,493881,Chattisgarhi,12:00,Diamond,150₹,60,2
Nawapara,GalaxyCinemaNawapara,493881,Chattisgarhi,12:00,Gold,100₹,185,0
Dongargarh,ShreeCinemaDongargarh,491445,Chattisgarhi,12:00,Gold,120₹,7,0
Ambikapur,JcmMultiplexAmbikapur,497001,Chattisgarhi,12:00,Recliners,330₹,16,0
Ambikapur,JcmMultiplexAmbikapur,497001,Chattisgarhi,12:00,Diamond,200₹,133,0
Ambikapur,JcmMultiplexAmbikapur,497001,Chattisgarhi,12:00,Gold,150₹,131,0
Ambikapur,JcmMultiplexAmbikapur,497001,Chattisgarhi,12:00,Silver,100₹,50,0
Durg,TarunLvCinemasDurg,491001,Chattisgarhi,12:00,Platinum,150₹,46,0
Durg,TarunLvCinemasDurg,491001,Chattisgarhi,12:00,Gold,120₹,99,3
Durg,TarunLvCinemasDurg,491001,Chattisgarhi,12:00,Silver,100₹,32,8
Dhamtari,EosCinemasDhamtari,493773,Chattisgarhi,12:00,Prime,150₹,37,0
Dhamtari,EosCinemasDhamtari,493773,Chattisgarhi,12:00,Club,100₹,95,0
Dhamtari,EosCinemasDhamtari,493773,Chattisgarhi,12:00,Premium,100₹,57,0
Bilaspur,ShivTalkiesBilaspur,495001,Chattisgarhi,12:15,Balcony,100₹,371,0
Bilaspur,ShivTalkiesBilaspur,495001,Chattisgarhi,12:15,Reserve,60₹,609,0
Rajnandgaon,EosSilverScreenMultiplexRajnandgaon,491441,Chattisgarhi,12:15,Star,120₹,16,0
Rajnandgaon,EosSilverScreenMultiplexRajnandgaon,491441,Chattisgarhi,12:15,Super,100₹,9,0
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,12:20,Silver,70₹,72,0
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,12:20,Golden,90₹,72,1
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,12:20,Platinum,120₹,72,0
Champa,MukundSMultiplexChampa,495671,Chattisgarhi,12:20,Royal,150₹,69,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,12:20,Classic,50₹,44,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,12:20,Premium,100₹,94,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,12:20,Executive,100₹,118,0
Korba,ChitraMultiplex2KDolbySurround71Korba,495677,Chattisgarhi,12:20,Sofa,150₹,19,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,12:30,Recliner,300₹,6,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,12:30,Diamond,250₹,9,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,12:30,Platinum,200₹,10,0
Champa,PadminiMultiplexChampa,495671,Chattisgarhi,12:30,Golden,180₹,11,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,12:30,Royal,240₹,8,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,12:30,Platinum,180₹,17,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,12:30,Diamond,150₹,17,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,12:30,Golden,120₹,16,0
Janjgir,MetroCinemaJanjgirNaila,495668,Chattisgarhi,12:30,Silver,100₹,18,0
Korba,NiharikaCinema2KLaserDolby71SoundKorba,495677,Chattisgarhi,12:30,Silver,50₹,50,3
Korba,NiharikaCinema2KLaserDolby71SoundKorba,495677,Chattisgarhi,12:30,Gold,100₹,191,0
Korba,NiharikaCinema2KLaserDolby71SoundKorba,495677,Chattisgarhi,12:30,Platinum,150₹,66,0
Bhatapara,CityplexCinemaBhatapara,493118,Chattisgarhi,12:30,Silver,120₹,66,0
Bhatapara,CityplexCinemaBhatapara,493118,Chattisgarhi,12:30,Gold,170₹,134,3
Bhatapara,CityplexCinemaBhatapara,493118,Chattisgarhi,12:30,Platinum,250₹,8,0
Bilaspur,36CityMallBilaspur,495001,Chattisgarhi,12:45,Recliner,300₹,19,0
Bilaspur,36CityMallBilaspur,495001,Chattisgarhi,12:45,Gold,150₹,183,5
Bilaspur,36CityMallBilaspur,495001,Chattisgarhi,12:45,Premium,100₹,45,0
Raipur,InoxAmbujaCityCentreRaipur,492007,Chattisgarhi,13:00,RoyalRecliner,330₹,19,4
Raipur,InoxAmbujaCityCentreRaipur,492007,Chattisgarhi,13:00,Royal,140₹,38,6
Raipur,InoxAmbujaCityCentreRaipur,492007,Chattisgarhi,13:00,Club,110₹,150,2
Raipur,InoxAmbujaCityCentreRaipur,492007,Chattisgarhi,13:00,Executive,90₹,32,0
Korba,CinemoodMultiplexDolbyAtmosSoundKorba,495678,Chattisgarhi,13:45,Platinum,200₹,18,0
Korba,CinemoodMultiplexDolbyAtmosSoundKorba,495678,Chattisgarhi,13:45,Diamond,150₹,68,0
Korba,CinemoodMultiplexDolbyAtmosSoundKorba,495678,Chattisgarhi,13:45,Gold,100₹,51,0
Korba,CinemoodMultiplexDolbyAtmosSoundKorba,495678,Chattisgarhi,13:45,Silver,50₹,34,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,13:45,Platinum,250₹,14,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,13:45,Gold,150₹,98,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,13:45,Silver,100₹,28,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,14:00,Platinum,250₹,14,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,14:00,Gold,150₹,98,0
Raipur,FnxCinemaRaipur,492001,Chattisgarhi,14:00,Silver,100₹,28,0
DalliRajhara,MathurCineplexDalliRajhara,491228,Chattisgarhi,14:00,Gold,130₹,96,0
