City,Name,Language,Time,Type,Price,Capacity,Booked
Gudur,VCinemasScreen3Gudur,Telugu,10:00,PremiumClass,90₹,130,29
Gudur,VCinemasScreen3Gudur,Telugu,10:00,EconomyClass,80₹,257,0
Gudur,VCinemasScreen3Gudur,Telugu,10:00,LowerClass,65₹,129,0
Mandya,SriMaruthiCinemasBelluruCross,Telugu,11:00,BalconyClass,100₹,57,0
Mandya,SriMaruthiCinemasBelluruCross,Telugu,11:00,SecondClass,80₹,105,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,11:15,FirstClass,70₹,116,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,11:15,SecondClass,50₹,116,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,11:15,ThirdClass,30₹,116,0
Gudur,VCinemasScreen3Gudur,Telugu,13:15,PremiumClass,90₹,130,30
Gudur,VCinemasScreen3Gudur,Telugu,13:15,EconomyClass,80₹,257,0
Gudur,VCinemasScreen3Gudur,Telugu,13:15,LowerClass,65₹,129,0
Mandya,SriMaruthiCinemasBelluruCross,Telugu,14:00,BalconyClass,100₹,57,0
Mandya,SriMaruthiCinemasBelluruCross,Telugu,14:00,SecondClass,80₹,105,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,14:15,FirstClass,70₹,116,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,14:15,SecondClass,50₹,116,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,14:15,ThirdClass,30₹,116,0
Eluru,SriSatyanarayanaCinemasScreen1Eluru,Telugu,14:30,ExecutiveClass,150₹,74,50
Eluru,SriSatyanarayanaCinemasScreen1Eluru,Telugu,14:30,Balcony,150₹,177,0
Macherla,RamaTalkiesMacherla,Telugu,14:30,AClass,50₹,46,46
Macherla,RamaTalkiesMacherla,Telugu,14:30,BClass,50₹,153,0
Macherla,RamaTalkiesMacherla,Telugu,14:30,CClass,50₹,100,0
Macherla,RamaTalkiesMacherla,Telugu,14:30,DClass,50₹,98,0
Mandya,SriMaruthiCinemasBelluruCross,Telugu,17:00,BalconyClass,100₹,57,0
Mandya,SriMaruthiCinemasBelluruCross,Telugu,17:00,SecondClass,80₹,105,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,18:15,FirstClass,70₹,116,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,18:15,SecondClass,50₹,116,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,18:15,ThirdClass,30₹,116,0
Eluru,SriSatyanarayanaCinemasScreen1Eluru,Telugu,18:15,ExecutiveClass,150₹,74,50
Eluru,SriSatyanarayanaCinemasScreen1Eluru,Telugu,18:15,Balcony,150₹,177,0
Macherla,RamaTalkiesMacherla,Telugu,18:15,AClass,50₹,46,46
Macherla,RamaTalkiesMacherla,Telugu,18:15,BClass,50₹,153,0
Macherla,RamaTalkiesMacherla,Telugu,18:15,CClass,50₹,100,0
Macherla,RamaTalkiesMacherla,Telugu,18:15,DClass,50₹,98,0
Gudur,VCinemasScreen3Gudur,Telugu,18:30,PremiumClass,90₹,130,29
Gudur,VCinemasScreen3Gudur,Telugu,18:30,EconomyClass,80₹,257,0
Gudur,VCinemasScreen3Gudur,Telugu,18:30,LowerClass,65₹,129,0
Mandya,SriMaruthiCinemasBelluruCross,Telugu,20:00,BalconyClass,100₹,57,0
Mandya,SriMaruthiCinemasBelluruCross,Telugu,20:00,SecondClass,80₹,105,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,21:15,FirstClass,70₹,116,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,21:15,SecondClass,50₹,116,0
Amalapuram,SriGanapathiPicturePalaceAmalapuram,Telugu,21:15,ThirdClass,30₹,116,0
Macherla,RamaTalkiesMacherla,Telugu,21:15,AClass,50₹,46,46
Macherla,RamaTalkiesMacherla,Telugu,21:15,BClass,50₹,153,0
Macherla,RamaTalkiesMacherla,Telugu,21:15,CClass,50₹,100,0
Macherla,RamaTalkiesMacherla,Telugu,21:15,DClass,50₹,98,0
Gudur,VCinemasScreen3Gudur,Telugu,21:30,PremiumClass,90₹,130,0
Gudur,VCinemasScreen3Gudur,Telugu,21:30,EconomyClass,80₹,257,0
Gudur,VCinemasScreen3Gudur,Telugu,21:30,LowerClass,65₹,129,0
Eluru,SriSatyanarayanaCinemasScreen1Eluru,Telugu,21:30,ExecutiveClass,150₹,74,50
Eluru,SriSatyanarayanaCinemasScreen1Eluru,Telugu,21:30,Balcony,150₹,177,0
