State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Assam,Guwahati,PragjyotiCinemaGuwahati,Assamese,11:00,GoldCircle,200₹,18,0
Assam,Guwahati,PragjyotiCinemaGuwahati,Assamese,11:00,SilverClass,175₹,88,0
Assam,Guwahati,PragjyotiCinemaGuwahati,Assamese,11:00,VipCircle,150₹,119,4
Assam,Guwahati,AnuradhaCineplexGuwahati,Assamese,11:00,Silver,100₹,62,0
Assam,Guwahati,AnuradhaCineplexGuwahati,Assamese,11:00,Gold,100₹,170,5
Assam,Guwahati,AnuradhaCineplexGuwahati,Assamese,11:00,Platinum,125₹,158,1
Assam,Guwahati,AnuradhaCineplexGuwahati,Assamese,11:00,Diamond,400₹,16,2
Assam,Guwahati,AnuradhaCineplexGuwahati,Assamese,11:00,Box2,300₹,22,0
Assam,Guwahati,AnuradhaCineplexGuwahati,Assamese,11:00,Box1,300₹,10,0
Assam,Jorhat,InoxAbsMallJorhat,Assamese,13:45,Royal,350₹,14,2
Assam,Jorhat,InoxAbsMallJorhat,Assamese,13:45,Club,230₹,55,2
Assam,Jorhat,InoxAbsMallJorhat,Assamese,13:45,Executive,150₹,32,2
Assam,Jorhat,InoxAbsMallJorhat,Assamese,13:45,Premier,120₹,32,0
Assam,Guwahati,PragjyotiCinemaGuwahati,Assamese,14:00,GoldCircle,200₹,18,2
Assam,Guwahati,PragjyotiCinemaGuwahati,Assamese,14:00,SilverClass,175₹,88,0
Assam,Guwahati,PragjyotiCinemaGuwahati,Assamese,14:00,VipCircle,150₹,119,5
Assam,Morigaon,RoyalCinesMorigaon,Assamese,14:00,Platinum,90₹,92,0
Assam,Morigaon,RoyalCinesMorigaon,Assamese,14:00,Gold,90₹,78,0
Assam,Morigaon,RoyalCinesMorigaon,Assamese,14:00,Silver,90₹,30,0
Assam,Bongaigaon,JollyMaxCinemaBongaigaon,Assamese,14:15,Silver,100₹,36,0
Assam,Bongaigaon,JollyMaxCinemaBongaigaon,Assamese,14:15,Gold,120₹,36,2
Assam,Bongaigaon,JollyMaxCinemaBongaigaon,Assamese,14:15,Platinum,140₹,36,4
Assam,Bongaigaon,JollyMaxCinemaBongaigaon,Assamese,14:15,Diamond,180₹,48,0
Assam,Bongaigaon,JollyMaxCinemaBongaigaon,Assamese,14:15,Deluxe,300₹,4,4
Assam,Mangaldoi,FunCinemasDreamTheatreMangaldoi,Assamese,15:00,Silver,70₹,38,6
Assam,Mangaldoi,FunCinemasDreamTheatreMangaldoi,Assamese,15:00,Gold,100₹,90,3
Assam,Mangaldoi,FunCinemasDreamTheatreMangaldoi,Assamese,15:00,Diamond,150₹,56,2
Assam,Mangaldoi,FunCinemasDreamTheatreMangaldoi,Assamese,15:00,Recliner,250₹,10,0
Assam,Tinsukia,GalleriaCinemasTinsukia,Assamese,15:20,Business,330₹,14,4
Assam,Tinsukia,GalleriaCinemasTinsukia,Assamese,15:20,Platinum,280₹,192,7
Assam,Tinsukia,GalleriaCinemasTinsukia,Assamese,15:20,Gold,220₹,51,7
Assam,Tinsukia,GalleriaCinemasTinsukia,Assamese,15:20,Silver,130₹,34,0
Assam,Sivasagar,BhaskarjyotiCinemaSivasagar,Assamese,16:00,SilverClass,200₹,44,0
Assam,Sivasagar,BhaskarjyotiCinemaSivasagar,Assamese,16:00,PremierCircle,150₹,42,0
Assam,Morigaon,RoyalCinesMorigaon,Assamese,16:20,Platinum,90₹,92,0
Assam,Morigaon,RoyalCinesMorigaon,Assamese,16:20,Gold,90₹,78,0
Assam,Morigaon,RoyalCinesMorigaon,Assamese,16:20,Silver,90₹,30,0
Assam,Guwahati,MatrixCinemasMatrixMallBeltolaGuwahati,Assamese,16:25,Gold,350₹,42,0
Assam,Guwahati,MatrixCinemasMatrixMallBeltolaGuwahati,Assamese,16:25,Club,110₹,52,9
Assam,Guwahati,MatrixCinemasMatrixMallBeltolaGuwahati,Assamese,16:25,Executive,110₹,13,0
Assam,Guwahati,PragjyotiCinemaGuwahati,Assamese,17:00,GoldCircle,200₹,18,0
Assam,Guwahati,PragjyotiCinemaGuwahati,Assamese,17:00,SilverClass,175₹,88,0
Assam,Guwahati,PragjyotiCinemaGuwahati,Assamese,17:00,VipCircle,150₹,119,0
Assam,Rangia,DelightGoldCinemaHallRangia,Assamese,17:00,Gold,118₹,286,0
Assam,Rangia,DelightGoldCinemaHallRangia,Assamese,17:00,Platinum,150₹,110,2
Assam,Rangia,DelightGoldCinemaHallRangia,Assamese,17:00,Balcony,200₹,202,2
Assam,Mangaldoi,GoldCinemaMangaldoi,Assamese,17:00,Platinum,150₹,67,19
Assam,Mangaldoi,GoldCinemaMangaldoi,Assamese,17:00,Gold,100₹,96,0
Assam,Mangaldoi,GoldCinemaMangaldoi,Assamese,17:00,Silver,70₹,32,0
Assam,Tezpur,ImpCinemasTezpur,Assamese,17:00,Executive,100₹,34,0
Assam,Tezpur,ImpCinemasTezpur,Assamese,17:00,Club,100₹,34,0
Assam,Tezpur,ImpCinemasTezpur,Assamese,17:00,Premium,100₹,51,0
Assam,Tezpur,ImpCinemasTezpur,Assamese,17:00,Business,100₹,12,0
Assam,Guwahati,RrCinemasGuwahati,Assamese,17:15,Platinum,250₹,52,0
Assam,Guwahati,RrCinemasGuwahati,Assamese,17:15,Club,200₹,50,0
Assam,Guwahati,RrCinemasGuwahati,Assamese,17:15,Classic,150₹,23,0
Assam,Mangaldoi,FunCinemasDreamTheatreMangaldoi,Assamese,17:30,Silver,70₹,38,0
Assam,Mangaldoi,FunCinemasDreamTheatreMangaldoi,Assamese,17:30,Gold,100₹,90,5
Assam,Mangaldoi,FunCinemasDreamTheatreMangaldoi,Assamese,17:30,Diamond,150₹,56,3
Assam,Mangaldoi,FunCinemasDreamTheatreMangaldoi,Assamese,17:30,Recliner,250₹,10,0
Assam,Guwahati,MatrixCinemasMatrixMallBeltolaGuwahati,Assamese,18:40,Gold,350₹,42,0
Assam,Guwahati,MatrixCinemasMatrixMallBeltolaGuwahati,Assamese,18:40,Club,110₹,52,5
Assam,Guwahati,MatrixCinemasMatrixMallBeltolaGuwahati,Assamese,18:40,Executive,110₹,13,0
