State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
MadhyaPradesh,Bhopal,InoxCapitalMallBhopal,English,09:00,Club,80₹,229,0
MadhyaPradesh,Bhopal,InoxCapitalMallBhopal,English,09:00,Executive,80₹,38,0
MadhyaPradesh,Bhopal,InoxCapitalMallBhopal,English,09:00,Royal,80₹,76,8
Rajasthan,Jaipur,InoxGtCentralMallJaipur,English,09:00,Insignia,300₹,35,4
Rajasthan,Jodhpur,InoxAnsalRoyalPlaza,English,09:00,Rr,260₹,12,0
Rajasthan,Jodhpur,InoxAnsalRoyalPlaza,English,09:00,Royale,140₹,42,8
Rajasthan,Jodhpur,InoxAnsalRoyalPlaza,English,09:00,Club,112₹,139,5
Rajasthan,Jodhpur,InoxAnsalRoyalPlaza,English,09:00,Executive,110₹,34,4
MadhyaPradesh,Indore,InoxTreasureIslandNextMallRegalSquare,English,09:00,Club,110₹,196,12
MadhyaPradesh,Indore,InoxTreasureIslandNextMallRegalSquare,English,09:00,Executive,110₹,42,0
Rajasthan,Bhilwara,InoxRelianceMallBhilwara,English,09:05,RoyaleRecliners,200₹,14,0
Rajasthan,Bhilwara,InoxRelianceMallBhilwara,English,09:05,Royale,140₹,29,0
Rajasthan,Bhilwara,InoxRelianceMallBhilwara,English,09:05,Club,112₹,107,0
Rajasthan,Bhilwara,InoxRelianceMallBhilwara,English,09:05,Executive,112₹,26,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,09:10,Normal,130₹,23,0
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,09:10,Executive,140₹,52,2
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,09:10,Premium,150₹,44,4
Orissa,Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,English,09:10,Vip,400₹,9,0
Rajasthan,Jaipur,InoxPinkSquareMallAdarshNagar,English,09:10,Royale,230₹,17,0
Rajasthan,Jaipur,InoxPinkSquareMallAdarshNagar,English,09:10,Club,100₹,146,14
Rajasthan,Jaipur,InoxPinkSquareMallAdarshNagar,English,09:10,Executive,100₹,66,0
Gujarat,Ahmedabad,TimeCinemaCgRoadAhmedabad,English,09:10,InfinitySofa,260₹,36,0
Gujarat,Surat,TimeCinemaGalaxyCirclePalSurat,English,09:15,InfinitySofa,220₹,12,0
Rajasthan,Ajmer,InoxCitySquareMallAjmer,English,09:15,Club,170₹,105,0
Rajasthan,Ajmer,InoxCitySquareMallAjmer,English,09:15,Executive,170₹,42,0
Rajasthan,Ajmer,InoxCitySquareMallAjmer,English,09:15,Platinum,170₹,120,0
Rajasthan,Ajmer,InoxCitySquareMallAjmer,English,09:15,Royale,170₹,68,10
Maharashtra,Pune,InoxBundGardenRoad,English,09:20,Royale,200₹,32,1
WestBengal,Kolkata,InoxCityCenterSaltLake,English,09:20,DressCircle,112₹,194,4
WestBengal,Kolkata,InoxCityCenterSaltLake,English,09:20,Galleria,112₹,76,0
WestBengal,Kolkata,InoxCityCenterSaltLake,English,09:20,Royale,112₹,50,23
MadhyaPradesh,Indore,InoxC21Mall,English,09:20,SkyBox,112₹,10,5
MadhyaPradesh,Indore,InoxC21Mall,English,09:20,Normal,110₹,264,10
Orissa,Bhubaneswar,InoxDnRegaliaMall,English,09:20,Club,112₹,50,0
Orissa,Bhubaneswar,InoxDnRegaliaMall,English,09:20,Executive,112₹,20,0
Orissa,Bhubaneswar,InoxDnRegaliaMall,English,09:20,Royal,112₹,69,10
Gujarat,Surat,InoxVrMallSurat,English,09:20,RoyalRecliner,280₹,18,6
Gujarat,Surat,InoxVrMallSurat,English,09:20,Club,140₹,122,0
Gujarat,Surat,InoxVrMallSurat,English,09:20,Executive,140₹,34,0
Gujarat,Surat,InoxVrMallSurat,English,09:20,Royal,140₹,60,6
UttarPradesh,NationalCapitalRegionNcr,InoxOmaxeConnaughtPlaceMallGreaterNoida,English,09:25,RoyaleRecliners,180₹,18,0
UttarPradesh,NationalCapitalRegionNcr,InoxOmaxeConnaughtPlaceMallGreaterNoida,English,09:25,Royale,140₹,187,0
