City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Vadodara,InoxTakshGalaxyMallWaghodia,390019,Telugu,09:30,Club,112₹,36,0
Vadodara,InoxTakshGalaxyMallWaghodia,390019,Telugu,09:30,Royal,112₹,95,9
Vadodara,InoxTakshGalaxyMallWaghodia,390019,Telugu,09:30,Executive,100₹,18,0
Vijayawada,CinepolisPvpSquareMallVijayawada,520010,Telugu,10:15,Normal,177₹,224,16
Vijayawada,InoxUrvasiComplexGandhiNagar,520003,Telugu,10:15,Club,177₹,146,0
Narasannapeta,SriVenkateshwaraMahalNarsannapeta,532421,Telugu,10:30,1Premium,100₹,144,0
Hospet,MeeralamNawazPicturePalaceHospet,583201,Telugu,10:30,Balcony,150₹,462,24
Rayagada,SriRamaTalkiesRayagada,765001,Telugu,10:30,Balcony,100₹,92,0
Mangalagiri,GopalaKrishnaTheaterMangalagiri,522503,Telugu,10:40,PremiumSofa,70₹,60,2
Mangalagiri,GopalaKrishnaTheaterMangalagiri,522503,Telugu,10:40,PremiumBalcony,70₹,126,1
Mangalagiri,GopalaKrishnaTheaterMangalagiri,522503,Telugu,10:40,PremiumFirstClass,70₹,175,0
VizagVisakhapatnam,ShankaraTheatre2KACDtsGopalapatnam,530027,Telugu,10:45,Balcony,112₹,300,90
Tadepalligudem,SriSeshmahalTheatreTadepalligudem,534101,Telugu,10:50,FirstClass,112₹,105,0
Vizianagaram,InoxNcsMallVizianagaram,535002,Telugu,10:55,Exclusive,177₹,216,33
VizagVisakhapatnam,InoxVarunBeachBeachRoad,530003,Telugu,10:55,Excutive,177₹,147,28
Vizianagaram,AdityaTheatreACDtsVizianagaram,535001,Telugu,11:00,FirstClass,112₹,353,63
Vizianagaram,AdityaTheatreACDtsVizianagaram,535001,Telugu,11:00,SecondClass,78₹,138,36
Jaggayyapeta,G3TheatresKamala,521175,Telugu,11:00,Recliners,295₹,262,0
Jaggayyapeta,G3TheatresKamala,521175,Telugu,11:00,Sofa,112₹,262,0
Jaggayyapeta,G3TheatresKamala,521175,Telugu,11:00,Balcony,112₹,262,0
Jaggayyapeta,G3TheatresKamala,521175,Telugu,11:00,SecondClass,90₹,262,0
JangareddyGudem,SriPadmaTheaterAC2KDolbyJangareddyGudem,534447,Telugu,11:00,Sofa,150₹,62,0
JangareddyGudem,SriPadmaTheaterAC2KDolbyJangareddyGudem,534447,Telugu,11:00,Balcony,150₹,291,0
Palakollu,SrinivasaComplexAcDtsPalakol,534260,Telugu,11:00,Balcony,160₹,200,98
Vijayawada,CinepolisPowerOneMallVijayawada,520007,Telugu,11:00,Normal,147₹,24,0
Vijayawada,CinepolisPowerOneMallVijayawada,520007,Telugu,11:00,Executive,147₹,54,2
Vijayawada,CinepolisPowerOneMallVijayawada,520007,Telugu,11:00,Premium,147₹,82,41
