City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Krishnanagar,SangeetaTalkiesKrishnanagar,741101,Bengali,10:30,Balcony,50₹,33,0
Krishnanagar,SangeetaTalkiesKrishnanagar,741101,Bengali,10:30,FirstClass,30₹,30,0
Kolkata,EloraMultiplexChampahati,743330,Bengali,12:00,Gold,100₹,20,0
Kolkata,EloraMultiplexChampahati,743330,Bengali,12:00,Silver,70₹,132,0
Kolkata,InoxStarMallMadhyamgram,700129,Bengali,12:00,Royal,140₹,73,10
Kolkata,InoxStarMallMadhyamgram,700129,Bengali,12:00,Club,112₹,90,0
Kolkata,InoxStarMallMadhyamgram,700129,Bengali,12:00,Executive,112₹,30,0
Pune,PvrPhoenixMarketCityPune,411014,Bengali,12:00,Classic,100₹,52,0
Pune,PvrPhoenixMarketCityPune,411014,Bengali,12:00,Prime,100₹,119,16
Pune,PvrPhoenixMarketCityPune,411014,Bengali,12:00,PrimePlus,150₹,10,4
Balurghat,SatyajitManchaBalurghat,733101,Bengali,12:30,Balcony,100₹,40,0
Balurghat,SatyajitManchaBalurghat,733101,Bengali,12:30,RearStall,50₹,655,0
Kolkata,InoxCityCenterSaltLake,700020,Bengali,12:50,DressCircle,112₹,194,7
Kolkata,InoxCityCenterSaltLake,700020,Bengali,12:50,Galleria,112₹,76,0
Kolkata,InoxCityCenterSaltLake,700020,Bengali,12:50,Royale,112₹,50,18
Kolkata,BasusreeCinemaKolkata,700026,Bengali,13:00,RearStall,70₹,700,0
Kolkata,BasusreeCinemaKolkata,700026,Bengali,13:00,Balcony,100₹,320,4
Hooghly,MiniSushamaCinemaSheoraphuli,712223,Bengali,13:00,RoyalClass,100₹,86,0
Kolkata,NandanKolkata,700020,Bengali,13:15,FrontStall,30₹,111,3
Kolkata,NandanKolkata,700020,Bengali,13:15,RearStall,50₹,451,30
Kolkata,NandanKolkata,700020,Bengali,13:15,Balcony,70₹,369,20
Ranaghat,RanaghatTalkiesNadia,741201,Bengali,13:30,1stClass,30₹,720,8
Ranaghat,RanaghatTalkiesNadia,741201,Bengali,13:30,Balcony,50₹,118,6
Kolkata,SvfCinemasWoodSquareMallNarendrapur,700103,Bengali,13:45,Gold,99₹,36,0
Kolkata,SvfCinemasWoodSquareMallNarendrapur,700103,Bengali,13:45,Platinum,99₹,85,8
