State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Karnataka,Bengaluru,CinepolisBinnypetMall,Kannada,09:30,Normal,112₹,10,0
Karnataka,Bengaluru,CinepolisBinnypetMall,Kannada,09:30,Executive,112₹,82,0
Karnataka,Bengaluru,CinepolisBinnypetMall,Kannada,09:30,Premium,112₹,47,6
Karnataka,HubballiHubli,CinepolisUrbanOasisMallHubli,Kannada,09:40,Normal,160₹,38,0
Karnataka,HubballiHubli,CinepolisUrbanOasisMallHubli,Kannada,09:40,Executive,160₹,103,14
Karnataka,HubballiHubli,CinepolisUrbanOasisMallHubli,Kannada,09:40,Premium,180₹,62,30
Karnataka,TumakuruTumkur,InoxSMallTumakuru,Kannada,09:50,Royal,250₹,14,4
Karnataka,TumakuruTumkur,InoxSMallTumakuru,Kannada,09:50,Club,130₹,120,14
Karnataka,TumakuruTumkur,InoxSMallTumakuru,Kannada,09:50,Executive,130₹,136,0
Karnataka,Bengaluru,InoxMantriSquareMalleshwaram,Kannada,09:55,Club,140₹,225,20
Karnataka,Bengaluru,VeerabhadreshwaraTheatreKamalaNagar,Kannada,10:00,Balcony,110₹,179,2
Karnataka,Bengaluru,VeerabhadreshwaraTheatreKamalaNagar,Kannada,10:00,SecondClass,100₹,528,9
Karnataka,Bengaluru,GoverdhanTheatreYeshwantpur,Kannada,10:00,BalconyClass,100₹,112,0
Karnataka,Bengaluru,PvrMsrElementsMallTanisandhraMainRoad,Kannada,10:00,Classic,112₹,114,0
Karnataka,Bengaluru,VictoryCinemaBarco4KRgbLaserKamakshipalya,Kannada,10:00,Premium,110₹,505,5
Karnataka,Bengaluru,PvrTheCinemaGtWorldBengaluru,Kannada,10:10,Classic,112₹,179,7
Karnataka,Bengaluru,PvrTheCinemaGtWorldBengaluru,Kannada,10:10,Recliner,200₹,16,1
Karnataka,Bengaluru,BharathiTheatrePeenyaAC4KDigitalCinema,Kannada,10:15,Gold,130₹,239,7
Karnataka,Bengaluru,BharathiTheatrePeenyaAC4KDigitalCinema,Kannada,10:15,Silver,100₹,580,25
Karnataka,KalaburagiGulbarga,InoxOrchidMallGulbarga,Kannada,10:20,Club,130₹,77,10
Karnataka,KalaburagiGulbarga,InoxOrchidMallGulbarga,Kannada,10:20,Executive,130₹,112,0
Karnataka,Bengaluru,SantoshTheatreGandhinagar,Kannada,10:30,Balcony,110₹,157,0
Karnataka,Bengaluru,SantoshTheatreGandhinagar,Kannada,10:30,SecondClass,100₹,360,0
