City,Name,ZIP,Language,Time,Type,Price,Capacity,Booked
Mumbai,CinepolisVivianaMallThane,400606,Hindi,09:10,Normal,170₹,31,0
Mumbai,CinepolisVivianaMallThane,400606,Hindi,09:10,Executive,170₹,104,0
Mumbai,CinepolisVivianaMallThane,400606,Hindi,09:10,Premium,170₹,52,6
Jamshedpur,PjpCinepolisJamshedpur,831001,Hindi,09:15,Normal,150₹,24,0
Jamshedpur,PjpCinepolisJamshedpur,831001,Hindi,09:15,Executive,150₹,56,0
Jamshedpur,PjpCinepolisJamshedpur,831001,Hindi,09:15,Premium,150₹,64,0
Jamshedpur,PjpCinepolisJamshedpur,831001,Hindi,09:15,Vip,500₹,11,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,09:20,Normal,140₹,23,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,09:20,Executive,150₹,52,0
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,09:20,Premium,160₹,44,4
Bhubaneswar,CinepolisNexusEsplanadeBhubaneswar,751007,Hindi,09:20,Vip,400₹,9,0
NationalCapitalRegionNcr,PvrLogixNoida,201301,Hindi,09:25,Classic,99₹,89,1
Vadodara,PvrNilamberTriumphVadodara,390007,Hindi,09:30,Classic,110₹,28,0
Vadodara,PvrNilamberTriumphVadodara,390007,Hindi,09:30,Prime,110₹,84,14
Vadodara,PvrNilamberTriumphVadodara,390007,Hindi,09:30,Recliner,300₹,10,2
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,400706,Hindi,09:30,Normal,160₹,49,0
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,400706,Hindi,09:30,Executive,180₹,74,5
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,400706,Hindi,09:30,Premium,200₹,60,7
Mumbai,CinepolisSeawoodsGrandCentralNaviMumbai,400706,Hindi,09:30,Vip,300₹,14,1
Jaipur,InoxGtCentralMallJaipur,302017,Hindi,09:45,Royale,260₹,46,4
Jaipur,InoxGtCentralMallJaipur,302017,Hindi,09:45,Executive,240₹,18,2
Lucknow,InoxCrownMallLucknow,226028,Hindi,09:45,RoyaleRecliners,280₹,12,0
Lucknow,InoxCrownMallLucknow,226028,Hindi,09:45,Royale,150₹,28,0
Lucknow,InoxCrownMallLucknow,226028,Hindi,09:45,Club,140₹,53,0
Lucknow,InoxCrownMallLucknow,226028,Hindi,09:45,Executive,110₹,18,0
Bengaluru,CinepolisRoyalMeenakshiMall,560076,Hindi,09:55,Normal,150₹,26,0
Bengaluru,CinepolisRoyalMeenakshiMall,560076,Hindi,09:55,Executive,150₹,70,8
Bengaluru,CinepolisRoyalMeenakshiMall,560076,Hindi,09:55,Premium,150₹,17,4
NationalCapitalRegionNcr,PvrSaharaGurgaon,122001,Hindi,10:00,Classic,99₹,144,1
NationalCapitalRegionNcr,PvrSaharaGurgaon,122001,Hindi,10:00,Prime,99₹,79,15
Kolkata,PvrDiamondPlazaJessoreKolkata,700055,Hindi,10:00,Classic,99₹,100,21
Kolkata,PvrDiamondPlazaJessoreKolkata,700055,Hindi,10:00,Prime,99₹,11,1
Kolkata,PvrDiamondPlazaJessoreKolkata,700055,Hindi,10:00,Recliner,149₹,12,6
Lucknow,CinepolisOneAwadhCentreLucknow,226010,Hindi,10:00,Normal,130₹,29,0
Lucknow,CinepolisOneAwadhCentreLucknow,226010,Hindi,10:00,Executive,130₹,96,0
Lucknow,CinepolisOneAwadhCentreLucknow,226010,Hindi,10:00,Premium,130₹,54,18
Lucknow,CinepolisOneAwadhCentreLucknow,226010,Hindi,10:00,Vip,450₹,20,9
NationalCapitalRegionNcr,PvrGaurCityGreaterNoida,201301,Hindi,10:00,Classic,99₹,96,0
NationalCapitalRegionNcr,PvrGaurCityGreaterNoida,201301,Hindi,10:00,Prime,99₹,93,19
Mumbai,CinepolisFunRepublicMallAndheriW,400053,Hindi,10:00,Normal,80₹,32,0
Mumbai,CinepolisFunRepublicMallAndheriW,400053,Hindi,10:00,Executive,100₹,96,1
Mumbai,CinepolisFunRepublicMallAndheriW,400053,Hindi,10:00,Premium,100₹,50,23
Mumbai,CinepolisFunRepublicMallAndheriW,400053,Hindi,10:00,Platinum,170₹,22,1
NationalCapitalRegionNcr,InoxOmaxeConnaughtPlaceMallGreaterNoida,201308,Hindi,10:05,RoyaleRecliners,230₹,16,0
NationalCapitalRegionNcr,InoxOmaxeConnaughtPlaceMallGreaterNoida,201308,Hindi,10:05,Royale,140₹,177,12
NationalCapitalRegionNcr,InoxOmaxeConnaughtPlaceMallGreaterNoida,201308,Hindi,10:05,Club,112₹,119,0
NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,122001,Hindi,10:10,Platinum,500₹,28,0
NationalCapitalRegionNcr,PvrAmbienceGoldGurgaon,122001,Hindi,10:10,PlatinumSuperior,500₹,16,8
NationalCapitalRegionNcr,CinepolisV3SMallLaxmiNagar,110092,Hindi,10:15,Normal,100₹,145,2
NationalCapitalRegionNcr,CinepolisV3SMallLaxmiNagar,110092,Hindi,10:15,Executive,100₹,144,51
Ahmedabad,MirajCityPulseAhmedabad,380001,Hindi,10:15,Gold,140₹,24,0
Mumbai,PvrIconLuxeInfinitiAndheriWMumbai,400053,Hindi,10:15,Luxe,400₹,51,0
Mumbai,PvrIconLuxeInfinitiAndheriWMumbai,400053,Hindi,10:15,LuxeSuperior,500₹,35,0
Haldwani,MoviezoneCinemaHalduchaurHaldwani,263139,Hindi,10:30,Recliner,300₹,14,0
Haldwani,MoviezoneCinemaHalduchaurHaldwani,263139,Hindi,10:30,Premier,200₹,32,0
Haldwani,MoviezoneCinemaHalduchaurHaldwani,263139,Hindi,10:30,Standard,150₹,16,0
Pune,InoxBundGardenRoad,411001,Hindi,10:30,DressCircle,150₹,181,18
Pune,InoxBundGardenRoad,411001,Hindi,10:30,Galleria,150₹,60,0
Mumbai,CarnivalImaxWadala,400037,Hindi,10:30,PlatinumOffline,110₹,220,1
Mumbai,CarnivalImaxWadala,400037,Hindi,10:30,GoldOffline,110₹,84,0
Mumbai,CarnivalImaxWadala,400037,Hindi,10:30,PremiumOffline,140₹,53,0
Mumbai,CinepolisVipVivianaMallThane,400606,Hindi,10:40,Vip,450₹,70,8
Jaipur,InoxElementsMallAjmerRoad,302021,Hindi,10:45,Royale,140₹,35,16
Jaipur,InoxElementsMallAjmerRoad,302021,Hindi,10:45,Club,112₹,93,0
Jaipur,InoxElementsMallAjmerRoad,302021,Hindi,10:45,Executive,112₹,18,0
Raipur,InoxAmbujaCityCentreRaipur,492007,Hindi,10:45,RoyalRecliner,200₹,20,4
