State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
UttarPradesh,PrayagrajAllahabad,PvrVinayakPrayagraj,Hindi,19:30,Classic,150₹,58,2
UttarPradesh,PrayagrajAllahabad,PvrVinayakPrayagraj,Hindi,19:30,Prime,150₹,58,28
UttarPradesh,PrayagrajAllahabad,PvrVinayakPrayagraj,Hindi,19:30,Recliner,249₹,9,4
Gujarat,Vadodara,PvrEvaMallVadodara,Hindi,19:30,Classic,150₹,47,0
Gujarat,Vadodara,PvrEvaMallVadodara,Hindi,19:30,Prime,150₹,64,27
Gujarat,Vadodara,PvrEvaMallVadodara,Hindi,19:30,PrimePlus,150₹,65,55
Maharashtra,Pune,PvrGrandHighstreetPune,Hindi,19:30,Classic,150₹,24,2
Maharashtra,Pune,PvrGrandHighstreetPune,Hindi,19:30,Prime,150₹,48,3
Maharashtra,Pune,PvrGrandHighstreetPune,Hindi,19:30,PrimePlus,150₹,80,68
Maharashtra,Pune,PvrGrandHighstreetPune,Hindi,19:30,Recliner,250₹,8,8
UttarPradesh,Kanpur,PvrDeepKanpur,Hindi,19:30,Classic,150₹,120,6
UttarPradesh,Kanpur,PvrDeepKanpur,Hindi,19:30,Prime,150₹,72,14
UttarPradesh,NationalCapitalRegionNcr,PvrMgfGurgaon,Hindi,19:30,Classic,150₹,72,67
UttarPradesh,NationalCapitalRegionNcr,PvrMgfGurgaon,Hindi,19:30,Prime,150₹,52,49
UttarPradesh,NationalCapitalRegionNcr,PvrMgfGurgaon,Hindi,19:30,Recliner,250₹,8,8
